file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u
oertel_seed-104_nperz-5_nz-100_nd-100_nmuestras-50.json,104,5,100,100,50,54,0.30689738523849747,"[1.0, 0.4530743146842792, 0.5119178814489453]","[-1.0, -0.0, -0.0]"
oertel_seed-105_nperz-5_nz-100_nd-100_nmuestras-50.json,105,5,100,100,50,54,0.3709101315572561,"[1.0, 0.4554294742047211, 0.4381620505748831]","[0.18738131458572474, 0.8454959192923425, 0.5000248927844716]"
oertel_seed-106_nperz-5_nz-100_nd-100_nmuestras-50.json,106,5,100,100,50,54,0.25060465398610476,"[1.0, 0.4190155757632061, 0.5695555422290798]","[-1.0, -0.0, -0.0]"
oertel_seed-107_nperz-5_nz-100_nd-100_nmuestras-50.json,107,5,100,100,50,54,0.1373804250699861,"[1.0, 0.4978129291193349, 0.5488292377955013]","[-1.0, -0.0, -0.0]"
oertel_seed-108_nperz-5_nz-100_nd-100_nmuestras-50.json,108,5,100,100,50,54,0.25199370077839217,"[1.0, 0.5148621756368196, 0.41031435708526953]","[-1.0, -0.0, -0.0]"
oertel_seed-109_nperz-5_nz-100_nd-100_nmuestras-50.json,109,5,100,100,50,54,0.31225112546852135,"[1.0, 0.558823557278839, 0.4921225903566091]","[-1.0, -0.0, -0.0]"
oertel_seed-10_nperz-5_nz-100_nd-100_nmuestras-50.json,10,5,100,100,50,54,0.31922767671758073,"[1.0, 0.5035079499035159, 0.5018329451925527]","[0.6613118653236517, 0.23179706818458135, -0.7133980207171764]"
oertel_seed-110_nperz-5_nz-100_nd-100_nmuestras-50.json,110,5,100,100,50,54,0.3000862412272507,"[1.0, 0.35570618787536173, 0.4304684015302953]","[-1.0, -0.0, -0.0]"
oertel_seed-111_nperz-5_nz-100_nd-100_nmuestras-50.json,111,5,100,100,50,54,0.24733367685784227,"[1.0, 0.478953564798193, 0.49904551078792586]","[-1.0, -0.0, -0.0]"
oertel_seed-112_nperz-5_nz-100_nd-100_nmuestras-50.json,112,5,100,100,50,54,0.29903056110610116,"[1.0, 0.4391429056101977, 0.5817020961388273]","[-1.0, -0.0, -0.0]"
